filename,title,exposure_layer1,exposure_layer2,exposure_layer3,outcome_layer1,outcome_layer2,outcome_layer3,study_design,status
2020 - associations of annual ambient PM2.5 components with DNAm phenoage acceleration in elderly men the Normative Aging Study.pdf,Associations of annual ambient PM2.5 components with DNAm PhenoAge acceleration in elderly men: The Normative Aging Study,chemical,air pollution,long-term silicon in PM2.5,biomarker,epigenetic biomarker,DNAm PhenoAge acceleration,longitudinal cohort study,success
2014 - associations between changes in city and address specific temperature and qt interval--the VA Normative Aging Study.pdf,Associations between Changes in City and Address Specific Temperature and QT Interval - The VA Normative Aging Study,physical,temperature,24-hour mean temperature,biomarker,cardiac function,heart rate-corrected QT interval (QTc),longitudinal cohort study,success
2014 - associations between changes in city and address specific temperature and qt interval--the VA Normative Aging Study.pdf,Associations between Changes in City and Address Specific Temperature and QT Interval - The VA Normative Aging Study,physical,temperature,24-hour standard deviation of temperature,biomarker,cardiac function,heart rate-corrected QT interval (QTc),longitudinal cohort study,success
2012 - openness to experience and mortality in men analysis of trait and facets.pdf,Openness to Experience and Mortality in Men: Analysis of Trait and Facets,psychosocial,personality,creativity facet of openness,disease,mortality,all-cause mortality,longitudinal cohort study,success
2012 - openness to experience and mortality in men analysis of trait and facets.pdf,Openness to Experience and Mortality in Men: Analysis of Trait and Facets,psychosocial,personality,intellect facet of openness,disease,mortality,all-cause mortality,longitudinal cohort study,success
2012 - openness to experience and mortality in men analysis of trait and facets.pdf,Openness to Experience and Mortality in Men: Analysis of Trait and Facets,psychosocial,personality,overall trait openness,disease,mortality,all-cause mortality,longitudinal cohort study,success
2012 - openness to experience and mortality in men analysis of trait and facets.pdf,Openness to Experience and Mortality in Men: Analysis of Trait and Facets,behavior,smoking,current smoker,disease,mortality,all-cause mortality,longitudinal cohort study,success
"2018 - iron-processing genotypes, nutrient intakes, and cadmium levels in the Normative Aging Study evidence of sensitive subpo.pdf","Iron-processing genotypes, nutrient intakes, and cadmium levels in the Normative Aging Study: Evidence of sensitive subpopulations in cadmium risk assessment",chemical,metals,toenail cadmium levels,biomarker,metal levels,toenail cadmium concentration,longitudinal cohort study,success
"2018 - iron-processing genotypes, nutrient intakes, and cadmium levels in the Normative Aging Study evidence of sensitive subpo.pdf","Iron-processing genotypes, nutrient intakes, and cadmium levels in the Normative Aging Study: Evidence of sensitive subpopulations in cadmium risk assessment",biomarker,genotype,HFE H63D,biomarker,metal levels,toenail cadmium concentration,longitudinal cohort study,success
"2018 - iron-processing genotypes, nutrient intakes, and cadmium levels in the Normative Aging Study evidence of sensitive subpo.pdf","Iron-processing genotypes, nutrient intakes, and cadmium levels in the Normative Aging Study: Evidence of sensitive subpopulations in cadmium risk assessment",biomarker,genotype,Transferrin P570S,biomarker,metal levels,toenail cadmium concentration,longitudinal cohort study,success
"2018 - iron-processing genotypes, nutrient intakes, and cadmium levels in the Normative Aging Study evidence of sensitive subpo.pdf","Iron-processing genotypes, nutrient intakes, and cadmium levels in the Normative Aging Study: Evidence of sensitive subpopulations in cadmium risk assessment",biomarker,genotype,HFE C282Y,biomarker,metal levels,toenail cadmium concentration,longitudinal cohort study,success
"2018 - iron-processing genotypes, nutrient intakes, and cadmium levels in the Normative Aging Study evidence of sensitive subpo.pdf","Iron-processing genotypes, nutrient intakes, and cadmium levels in the Normative Aging Study: Evidence of sensitive subpopulations in cadmium risk assessment",behavior,smoking,pack years of cigarette smoking,biomarker,metal levels,toenail cadmium concentration,longitudinal cohort study,success
"2018 - iron-processing genotypes, nutrient intakes, and cadmium levels in the Normative Aging Study evidence of sensitive subpo.pdf","Iron-processing genotypes, nutrient intakes, and cadmium levels in the Normative Aging Study: Evidence of sensitive subpopulations in cadmium risk assessment",behavior,diet,vitamin C intake,biomarker,metal levels,toenail cadmium concentration,longitudinal cohort study,success
"2018 - iron-processing genotypes, nutrient intakes, and cadmium levels in the Normative Aging Study evidence of sensitive subpo.pdf","Iron-processing genotypes, nutrient intakes, and cadmium levels in the Normative Aging Study: Evidence of sensitive subpopulations in cadmium risk assessment",behavior,diet,iron intake,biomarker,metal levels,toenail cadmium concentration,longitudinal cohort study,success
"2018 - iron-processing genotypes, nutrient intakes, and cadmium levels in the Normative Aging Study evidence of sensitive subpo.pdf","Iron-processing genotypes, nutrient intakes, and cadmium levels in the Normative Aging Study: Evidence of sensitive subpopulations in cadmium risk assessment",behavior,diet,copper intake,biomarker,metal levels,toenail cadmium concentration,longitudinal cohort study,success
2011 - optimism in relation to inflammation and endothelial dysfunction in older men the VA Normative Aging Study.pdf,Optimism in Relation to Inflammation and Endothelial Dysfunction in Older Men: The VA Normative Aging Study,psychosocial,optimism,overall optimism scores,biomarker,inflammation,interleukin 6 (IL-6),longitudinal study,success
2011 - optimism in relation to inflammation and endothelial dysfunction in older men the VA Normative Aging Study.pdf,Optimism in Relation to Inflammation and Endothelial Dysfunction in Older Men: The VA Normative Aging Study,psychosocial,optimism,overall optimism scores,biomarker,inflammation,high-sensitivity C-reactive protein (hs-CRP),longitudinal study,success
2011 - optimism in relation to inflammation and endothelial dysfunction in older men the VA Normative Aging Study.pdf,Optimism in Relation to Inflammation and Endothelial Dysfunction in Older Men: The VA Normative Aging Study,psychosocial,optimism,overall optimism scores,biomarker,endothelial dysfunction,soluble intercellular adhesion molecule 1 (sICAM-1),longitudinal study,success
2011 - optimism in relation to inflammation and endothelial dysfunction in older men the VA Normative Aging Study.pdf,Optimism in Relation to Inflammation and Endothelial Dysfunction in Older Men: The VA Normative Aging Study,psychosocial,optimism,overall optimism scores,biomarker,endothelial dysfunction,soluble vascular cell adhesion molecule 1 (sVCAM-1),longitudinal study,success
2011 - optimism in relation to inflammation and endothelial dysfunction in older men the VA Normative Aging Study.pdf,Optimism in Relation to Inflammation and Endothelial Dysfunction in Older Men: The VA Normative Aging Study,psychosocial,optimism,overall optimism scores,biomarker,endothelial dysfunction,soluble tumor necrosis factor receptor II (sTNF-RII),longitudinal study,success
2011 - optimism in relation to inflammation and endothelial dysfunction in older men the VA Normative Aging Study.pdf,Optimism in Relation to Inflammation and Endothelial Dysfunction in Older Men: The VA Normative Aging Study,psychosocial,pessimism,pessimistic orientation,biomarker,inflammation,interleukin 6 (IL-6),longitudinal study,success
2011 - optimism in relation to inflammation and endothelial dysfunction in older men the VA Normative Aging Study.pdf,Optimism in Relation to Inflammation and Endothelial Dysfunction in Older Men: The VA Normative Aging Study,psychosocial,pessimism,pessimistic orientation,biomarker,inflammation,high-sensitivity C-reactive protein (hs-CRP),longitudinal study,success
2011 - optimism in relation to inflammation and endothelial dysfunction in older men the VA Normative Aging Study.pdf,Optimism in Relation to Inflammation and Endothelial Dysfunction in Older Men: The VA Normative Aging Study,psychosocial,pessimism,pessimistic orientation,biomarker,endothelial dysfunction,soluble intercellular adhesion molecule 1 (sICAM-1),longitudinal study,success
2011 - optimism in relation to inflammation and endothelial dysfunction in older men the VA Normative Aging Study.pdf,Optimism in Relation to Inflammation and Endothelial Dysfunction in Older Men: The VA Normative Aging Study,psychosocial,pessimism,pessimistic orientation,biomarker,endothelial dysfunction,soluble vascular cell adhesion molecule 1 (sVCAM-1),longitudinal study,success
2011 - optimism in relation to inflammation and endothelial dysfunction in older men the VA Normative Aging Study.pdf,Optimism in Relation to Inflammation and Endothelial Dysfunction in Older Men: The VA Normative Aging Study,psychosocial,pessimism,pessimistic orientation,biomarker,endothelial dysfunction,soluble tumor necrosis factor receptor II (sTNF-RII),longitudinal study,success
2019 - optimism is not associated with two indicators of DNA methylation aging.pdf,Optimism is not associated with two indicators of DNA methylation aging,psychosocial,optimism,dispositional optimism,biomarker,epigenetic age,intrinsic epigenetic age acceleration (IEAA),observational study,success
2019 - optimism is not associated with two indicators of DNA methylation aging.pdf,Optimism is not associated with two indicators of DNA methylation aging,psychosocial,optimism,dispositional optimism,biomarker,epigenetic age,extrinsic epigenetic age acceleration (EEAA),observational study,success
2019 - optimism is not associated with two indicators of DNA methylation aging.pdf,Optimism is not associated with two indicators of DNA methylation aging,psychosocial,optimism,explanatory style optimism,biomarker,epigenetic age,intrinsic epigenetic age acceleration (IEAA),observational study,success
2019 - optimism is not associated with two indicators of DNA methylation aging.pdf,Optimism is not associated with two indicators of DNA methylation aging,psychosocial,optimism,explanatory style optimism,biomarker,epigenetic age,extrinsic epigenetic age acceleration (EEAA),observational study,success
2011 - do stress trajectories predict mortality in older men longitudinal findings from the VA Normative Aging Study.pdf,Do Stress Trajectories Predict Mortality in Older Men? Longitudinal Findings from the VA Normative Aging Study,psychosocial,stress,stressful life events (SLE) trajectories,disease,mortality,all-cause mortality,longitudinal cohort study,success
"2018 - irisin and leptin concentrations in relation to obesity, and developing type 2 diabetes a cross sectional and a prospect.pdf","Irisin and leptin concentrations in relation to obesity, and developing type 2 diabetes: A cross-sectional and a prospective case-control study nested in the Normative Aging Study",biomarker,hormone,circulating irisin concentrations,disease,metabolic,obesity,cross-sectional and prospective case-control study,success
"2018 - irisin and leptin concentrations in relation to obesity, and developing type 2 diabetes a cross sectional and a prospect.pdf","Irisin and leptin concentrations in relation to obesity, and developing type 2 diabetes: A cross-sectional and a prospective case-control study nested in the Normative Aging Study",biomarker,hormone,circulating irisin concentrations,disease,metabolic,type 2 diabetes mellitus (T2DM),cross-sectional and prospective case-control study,success
"2018 - irisin and leptin concentrations in relation to obesity, and developing type 2 diabetes a cross sectional and a prospect.pdf","Irisin and leptin concentrations in relation to obesity, and developing type 2 diabetes: A cross-sectional and a prospective case-control study nested in the Normative Aging Study",biomarker,hormone,circulating irisin concentrations,disease,metabolic,insulin resistance,cross-sectional and prospective case-control study,success
"2018 - irisin and leptin concentrations in relation to obesity, and developing type 2 diabetes a cross sectional and a prospect.pdf","Irisin and leptin concentrations in relation to obesity, and developing type 2 diabetes: A cross-sectional and a prospective case-control study nested in the Normative Aging Study",biomarker,hormone,circulating leptin concentrations,disease,metabolic,obesity,cross-sectional and prospective case-control study,success
"2018 - irisin and leptin concentrations in relation to obesity, and developing type 2 diabetes a cross sectional and a prospect.pdf","Irisin and leptin concentrations in relation to obesity, and developing type 2 diabetes: A cross-sectional and a prospective case-control study nested in the Normative Aging Study",biomarker,hormone,circulating leptin concentrations,disease,metabolic,type 2 diabetes mellitus (T2DM),cross-sectional and prospective case-control study,success
"2018 - irisin and leptin concentrations in relation to obesity, and developing type 2 diabetes a cross sectional and a prospect.pdf","Irisin and leptin concentrations in relation to obesity, and developing type 2 diabetes: A cross-sectional and a prospective case-control study nested in the Normative Aging Study",biomarker,hormone,circulating leptin concentrations,disease,metabolic,insulin resistance,cross-sectional and prospective case-control study,success
2013 - cumulative lead exposure in community-dwelling adults and fine motor function comparing standard and novel tasks in the .pdf,Cumulative lead exposure in community-dwelling adults and fine motor function: Comparing standard and novel tasks in the VA Normative Aging Study,chemical,lead exposure,cumulative lead exposure as measured by lead in bone,psychosocial,motor function,grooved pegboard task performance,cohort study,success
2013 - cumulative lead exposure in community-dwelling adults and fine motor function comparing standard and novel tasks in the .pdf,Cumulative lead exposure in community-dwelling adults and fine motor function: Comparing standard and novel tasks in the VA Normative Aging Study,chemical,lead exposure,cumulative lead exposure as measured by lead in bone,psychosocial,motor function,Neuroskill handwriting signature stability,cohort study,success
2013 - cumulative lead exposure in community-dwelling adults and fine motor function comparing standard and novel tasks in the .pdf,Cumulative lead exposure in community-dwelling adults and fine motor function: Comparing standard and novel tasks in the VA Normative Aging Study,chemical,lead exposure,cumulative lead exposure as measured by lead in bone,psychosocial,motor function,Neuroskill cursive lm-pattern stability,cohort study,success
2013 - cumulative lead exposure in community-dwelling adults and fine motor function comparing standard and novel tasks in the .pdf,Cumulative lead exposure in community-dwelling adults and fine motor function: Comparing standard and novel tasks in the VA Normative Aging Study,chemical,lead exposure,tibia lead concentration,psychosocial,motor function,grooved pegboard task performance,cohort study,success
2013 - cumulative lead exposure in community-dwelling adults and fine motor function comparing standard and novel tasks in the .pdf,Cumulative lead exposure in community-dwelling adults and fine motor function: Comparing standard and novel tasks in the VA Normative Aging Study,chemical,lead exposure,tibia lead concentration,psychosocial,motor function,Neuroskill handwriting signature stability,cohort study,success
2013 - cumulative lead exposure in community-dwelling adults and fine motor function comparing standard and novel tasks in the .pdf,Cumulative lead exposure in community-dwelling adults and fine motor function: Comparing standard and novel tasks in the VA Normative Aging Study,chemical,lead exposure,tibia lead concentration,psychosocial,motor function,Neuroskill cursive lm-pattern stability,cohort study,success
2013 - cumulative lead exposure in community-dwelling adults and fine motor function comparing standard and novel tasks in the .pdf,Cumulative lead exposure in community-dwelling adults and fine motor function: Comparing standard and novel tasks in the VA Normative Aging Study,chemical,lead exposure,patella lead concentration,psychosocial,motor function,grooved pegboard task performance,cohort study,success
2013 - cumulative lead exposure in community-dwelling adults and fine motor function comparing standard and novel tasks in the .pdf,Cumulative lead exposure in community-dwelling adults and fine motor function: Comparing standard and novel tasks in the VA Normative Aging Study,chemical,lead exposure,patella lead concentration,psychosocial,motor function,Neuroskill handwriting signature stability,cohort study,success
2013 - cumulative lead exposure in community-dwelling adults and fine motor function comparing standard and novel tasks in the .pdf,Cumulative lead exposure in community-dwelling adults and fine motor function: Comparing standard and novel tasks in the VA Normative Aging Study,chemical,lead exposure,patella lead concentration,psychosocial,motor function,Neuroskill cursive lm-pattern stability,cohort study,success
2016 - ambient particulate matter and micrornas in extracellular vesicles a pilot study of older individuals.pdf,Ambient particulate matter and microRNAs in extracellular vesicles: a pilot study of older individuals,chemical,air pollution,long-term ambient PM2.5,biomarker,microRNA expression,evmiRNAs circulating in serum,pilot study,success
2014 - long-term effects of traffic particles on lung function decline in the elderly.pdf,Long-Term Effects of Traffic Particles on Lung Function Decline in the Elderly,chemical,air pollution,long-term exposure to black carbon,disease,lung function,FVC (Forced Vital Capacity),longitudinal cohort study,success
2014 - long-term effects of traffic particles on lung function decline in the elderly.pdf,Long-Term Effects of Traffic Particles on Lung Function Decline in the Elderly,chemical,air pollution,long-term exposure to black carbon,disease,lung function,FEV1 (Forced Expiratory Volume in 1 second),longitudinal cohort study,success
2018 - the inflammatory potential of dietary manganese in a cohort of elderly men.pdf,The Inflammatory Potential of Dietary Manganese in a Cohort of Elderly Men,chemical,diet,estimated dietary manganese intake,biomarker,inflammation,circulating interleukin-1β (IL-1β),cohort study,success
2018 - the inflammatory potential of dietary manganese in a cohort of elderly men.pdf,The Inflammatory Potential of Dietary Manganese in a Cohort of Elderly Men,chemical,diet,estimated dietary manganese intake,biomarker,inflammation,circulating interleukin-6 (IL-6),cohort study,success
2018 - the inflammatory potential of dietary manganese in a cohort of elderly men.pdf,The Inflammatory Potential of Dietary Manganese in a Cohort of Elderly Men,chemical,diet,estimated dietary manganese intake,biomarker,inflammation,circulating interleukin-8 (IL-8),cohort study,success
2018 - the inflammatory potential of dietary manganese in a cohort of elderly men.pdf,The Inflammatory Potential of Dietary Manganese in a Cohort of Elderly Men,chemical,diet,estimated dietary manganese intake,biomarker,epigenetic,DNA methylation of NF-κβ member activator NKAP,cohort study,success
2018 - the inflammatory potential of dietary manganese in a cohort of elderly men.pdf,The Inflammatory Potential of Dietary Manganese in a Cohort of Elderly Men,chemical,diet,estimated dietary manganese intake,biomarker,epigenetic,DNA methylation of NF-κβ member activator NKAPP1,cohort study,success
2015 - emotional reactivity and mortality longitudinal findings from the VA Normative Aging Study.pdf,Emotional reactivity and mortality: longitudinal findings from the VA normative aging study,psychosocial,emotion,positive emotional reactivity,disease,mortality,all-cause mortality,longitudinal study,success
2015 - emotional reactivity and mortality longitudinal findings from the VA Normative Aging Study.pdf,Emotional reactivity and mortality: longitudinal findings from the VA normative aging study,psychosocial,emotion,negative emotional reactivity,disease,mortality,all-cause mortality,longitudinal study,success
2013 - structural equation modeling of parasympathetic and sympathetic response to traffic air pollution in a repeated.pdf,Structural equation modeling of parasympathetic and sympathetic response to traffic air pollution in a repeated measures study,chemical,air pollution,traffic-related air pollution,biomarker,cardiac autonomic function,parasympathetic tone,repeated measures study,success
2013 - structural equation modeling of parasympathetic and sympathetic response to traffic air pollution in a repeated.pdf,Structural equation modeling of parasympathetic and sympathetic response to traffic air pollution in a repeated measures study,chemical,air pollution,traffic-related air pollution,biomarker,cardiac autonomic function,sympathetic tone marker (LF/HF),repeated measures study,success
2013 - structural equation modeling of parasympathetic and sympathetic response to traffic air pollution in a repeated.pdf,Structural equation modeling of parasympathetic and sympathetic response to traffic air pollution in a repeated measures study,chemical,air pollution,black carbon (BC),biomarker,cardiac autonomic function,parasympathetic tone,repeated measures study,success
2013 - structural equation modeling of parasympathetic and sympathetic response to traffic air pollution in a repeated.pdf,Structural equation modeling of parasympathetic and sympathetic response to traffic air pollution in a repeated measures study,chemical,air pollution,black carbon (BC),biomarker,cardiac autonomic function,sympathetic tone marker (LF/HF),repeated measures study,success
2013 - structural equation modeling of parasympathetic and sympathetic response to traffic air pollution in a repeated.pdf,Structural equation modeling of parasympathetic and sympathetic response to traffic air pollution in a repeated measures study,chemical,air pollution,carbon monoxide (CO),biomarker,cardiac autonomic function,parasympathetic tone,repeated measures study,success
2013 - structural equation modeling of parasympathetic and sympathetic response to traffic air pollution in a repeated.pdf,Structural equation modeling of parasympathetic and sympathetic response to traffic air pollution in a repeated measures study,chemical,air pollution,carbon monoxide (CO),biomarker,cardiac autonomic function,sympathetic tone marker (LF/HF),repeated measures study,success
2013 - structural equation modeling of parasympathetic and sympathetic response to traffic air pollution in a repeated.pdf,Structural equation modeling of parasympathetic and sympathetic response to traffic air pollution in a repeated measures study,chemical,air pollution,nitrogen monoxide (NO),biomarker,cardiac autonomic function,parasympathetic tone,repeated measures study,success
2013 - structural equation modeling of parasympathetic and sympathetic response to traffic air pollution in a repeated.pdf,Structural equation modeling of parasympathetic and sympathetic response to traffic air pollution in a repeated measures study,chemical,air pollution,nitrogen monoxide (NO),biomarker,cardiac autonomic function,sympathetic tone marker (LF/HF),repeated measures study,success
2013 - structural equation modeling of parasympathetic and sympathetic response to traffic air pollution in a repeated.pdf,Structural equation modeling of parasympathetic and sympathetic response to traffic air pollution in a repeated measures study,chemical,air pollution,nitrogen dioxide (NO2),biomarker,cardiac autonomic function,parasympathetic tone,repeated measures study,success
2013 - structural equation modeling of parasympathetic and sympathetic response to traffic air pollution in a repeated.pdf,Structural equation modeling of parasympathetic and sympathetic response to traffic air pollution in a repeated measures study,chemical,air pollution,nitrogen dioxide (NO2),biomarker,cardiac autonomic function,sympathetic tone marker (LF/HF),repeated measures study,success
"2016 - long-term exposure to black carbon, cognition and single nucleotide polymorphisms in microrna processing genes in older .pdf","Long-term exposure to black carbon, cognition and single nucleotide polymorphisms in microRNA processing genes in older men",chemical,air pollution,long-term black carbon exposure,disease,cognitive function,global cognition,longitudinal cohort study,success
"2016 - long-term exposure to black carbon, cognition and single nucleotide polymorphisms in microrna processing genes in older .pdf","Long-term exposure to black carbon, cognition and single nucleotide polymorphisms in microRNA processing genes in older men",chemical,air pollution,long-term black carbon exposure,disease,cognitive function,Mini-Mental State Examination (MMSE) score,longitudinal cohort study,success
2021 - associations between PM 2.5 metal components and qt interval length in the Normative Aging Study.pdf,Associations between PM metal components and QT interval length in the Normative Aging Study,chemical,air pollution,short-term PM2.5 metal components,biomarker,cardiac function,QTc interval length,longitudinal cohort study,success
2021 - associations between PM 2.5 metal components and qt interval length in the Normative Aging Study.pdf,Associations between PM metal components and QT interval length in the Normative Aging Study,chemical,air pollution,4-day moving average lead exposure,biomarker,cardiac function,QTc interval length,longitudinal cohort study,success
2021 - associations between PM 2.5 metal components and qt interval length in the Normative Aging Study.pdf,Associations between PM metal components and QT interval length in the Normative Aging Study,chemical,air pollution,4-day moving average copper exposure,biomarker,cardiac function,QTc interval length,longitudinal cohort study,success
2021 - associations between PM 2.5 metal components and qt interval length in the Normative Aging Study.pdf,Associations between PM metal components and QT interval length in the Normative Aging Study,chemical,air pollution,4-day moving average nickel exposure,biomarker,cardiac function,QTc interval length,longitudinal cohort study,success
2021 - associations between PM 2.5 metal components and qt interval length in the Normative Aging Study.pdf,Associations between PM metal components and QT interval length in the Normative Aging Study,chemical,air pollution,4-day moving average vanadium exposure,biomarker,cardiac function,QTc interval length,longitudinal cohort study,success
"2016 - genome-wide analysis of DNA methylation and fine particulate matter air pollution in three study populations kora f3,.pdf","Genome-Wide Analysis of DNA Methylation and Fine Particulate Matter Air Pollution in Three Study Populations: KORA F3, KORA F4, and the Normative Aging Study",chemical,air pollution,short-term PM2.5,biomarker,DNA methylation,CpG site methylation,meta-analysis of cohort studies,success
"2016 - genome-wide analysis of DNA methylation and fine particulate matter air pollution in three study populations kora f3,.pdf","Genome-Wide Analysis of DNA Methylation and Fine Particulate Matter Air Pollution in Three Study Populations: KORA F3, KORA F4, and the Normative Aging Study",chemical,air pollution,mid-term PM2.5,biomarker,DNA methylation,CpG site methylation,meta-analysis of cohort studies,success
"2016 - genome-wide analysis of DNA methylation and fine particulate matter air pollution in three study populations kora f3,.pdf","Genome-Wide Analysis of DNA Methylation and Fine Particulate Matter Air Pollution in Three Study Populations: KORA F3, KORA F4, and the Normative Aging Study",chemical,air pollution,28-day PM2.5,biomarker,DNA methylation,CpG site methylation,meta-analysis of cohort studies,success
2020 - individual species and cumulative mixture relationships of 24-hour urine metal concentrations with DNA methylation age v.pdf,Individual species and cumulative mixture relationships of 24-hour urine metal concentrations with DNA methylation age variables in older men,chemical,biomarker,24-hour urine manganese concentration,biomarker,aging,PhenoAge,pilot study,success
2020 - individual species and cumulative mixture relationships of 24-hour urine metal concentrations with DNA methylation age v.pdf,Individual species and cumulative mixture relationships of 24-hour urine metal concentrations with DNA methylation age variables in older men,chemical,biomarker,24-hour urine manganese concentration,biomarker,aging,PhenoAgeAccel,pilot study,success
2020 - individual species and cumulative mixture relationships of 24-hour urine metal concentrations with DNA methylation age v.pdf,Individual species and cumulative mixture relationships of 24-hour urine metal concentrations with DNA methylation age variables in older men,chemical,biomarker,"cumulative 24-hour urine metal mixture (As, Cd, Hg, Pb, Mn)",biomarker,aging,PhenoAge,pilot study,success
2020 - individual species and cumulative mixture relationships of 24-hour urine metal concentrations with DNA methylation age v.pdf,Individual species and cumulative mixture relationships of 24-hour urine metal concentrations with DNA methylation age variables in older men,chemical,biomarker,"cumulative 24-hour urine metal mixture (As, Cd, Hg, Pb, Mn)",biomarker,aging,PhenoAgeAccel,pilot study,success
2018 - DNA methylation of telomere-related genes and cancer risk.pdf,DNA Methylation of Telomere-Related Genes and Cancer Risk,biomarker,DNA methylation,DNA methylation in telomere-related genes (TRGs),disease,cancer,cancer incidence,prospective cohort study,success
2018 - DNA methylation of telomere-related genes and cancer risk.pdf,DNA Methylation of Telomere-Related Genes and Cancer Risk,biomarker,DNA methylation,DNA methylation in telomere-related genes (TRGs),biomarker,telomere length,blood leukocyte telomere length (LTL),prospective cohort study,success
"2011 - prolonged exposure to particulate pollution, genes associated with glutathione pathways, and DNA methylation in a.pdf","Prolonged Exposure to Particulate Pollution, Genes Associated with Glutathione Pathways, and DNA Methylation in a Cohort of Older Men",chemical,air pollution,prolonged exposure to black carbon (BC),biomarker,DNA methylation,hypomethylation of Alu repetitive elements,cohort study,success
"2011 - prolonged exposure to particulate pollution, genes associated with glutathione pathways, and DNA methylation in a.pdf","Prolonged Exposure to Particulate Pollution, Genes Associated with Glutathione Pathways, and DNA Methylation in a Cohort of Older Men",chemical,air pollution,prolonged exposure to black carbon (BC),biomarker,DNA methylation,hypomethylation of LINE-1 repetitive elements,cohort study,success
"2011 - prolonged exposure to particulate pollution, genes associated with glutathione pathways, and DNA methylation in a.pdf","Prolonged Exposure to Particulate Pollution, Genes Associated with Glutathione Pathways, and DNA Methylation in a Cohort of Older Men",chemical,air pollution,prolonged exposure to sulfates (SO4),biomarker,DNA methylation,hypomethylation of Alu repetitive elements,cohort study,success
"2011 - prolonged exposure to particulate pollution, genes associated with glutathione pathways, and DNA methylation in a.pdf","Prolonged Exposure to Particulate Pollution, Genes Associated with Glutathione Pathways, and DNA Methylation in a Cohort of Older Men",chemical,air pollution,prolonged exposure to sulfates (SO4),biomarker,DNA methylation,hypomethylation of LINE-1 repetitive elements,cohort study,success
"2011 - prolonged exposure to particulate pollution, genes associated with glutathione pathways, and DNA methylation in a.pdf","Prolonged Exposure to Particulate Pollution, Genes Associated with Glutathione Pathways, and DNA Methylation in a Cohort of Older Men",chemical,air pollution,prolonged exposure to particulate matter ≤ 2.5 μm (PM2.5),biomarker,DNA methylation,hypomethylation of Alu repetitive elements,cohort study,success
"2011 - prolonged exposure to particulate pollution, genes associated with glutathione pathways, and DNA methylation in a.pdf","Prolonged Exposure to Particulate Pollution, Genes Associated with Glutathione Pathways, and DNA Methylation in a Cohort of Older Men",chemical,air pollution,prolonged exposure to particulate matter ≤ 2.5 μm (PM2.5),biomarker,DNA methylation,hypomethylation of LINE-1 repetitive elements,cohort study,success
2013 - association between blood pressure and DNA methylation of retrotransposons and pro-inflammatory genes.pdf,Association between blood pressure and DNA methylation of retrotransposons and pro-inflammatory genes,biomarker,DNA methylation,methylation of Alu elements,biomarker,blood pressure,diastolic blood pressure,longitudinal cohort study,success
2013 - association between blood pressure and DNA methylation of retrotransposons and pro-inflammatory genes.pdf,Association between blood pressure and DNA methylation of retrotransposons and pro-inflammatory genes,biomarker,DNA methylation,methylation of Alu elements,biomarker,blood pressure,systolic blood pressure,longitudinal cohort study,success
2013 - association between blood pressure and DNA methylation of retrotransposons and pro-inflammatory genes.pdf,Association between blood pressure and DNA methylation of retrotransposons and pro-inflammatory genes,biomarker,DNA methylation,methylation of LINE-1 elements,biomarker,blood pressure,diastolic blood pressure,longitudinal cohort study,success
2013 - association between blood pressure and DNA methylation of retrotransposons and pro-inflammatory genes.pdf,Association between blood pressure and DNA methylation of retrotransposons and pro-inflammatory genes,biomarker,DNA methylation,methylation of LINE-1 elements,biomarker,blood pressure,systolic blood pressure,longitudinal cohort study,success
2013 - association between blood pressure and DNA methylation of retrotransposons and pro-inflammatory genes.pdf,Association between blood pressure and DNA methylation of retrotransposons and pro-inflammatory genes,biomarker,DNA methylation,methylation of TLR2 gene,biomarker,blood pressure,diastolic blood pressure,longitudinal cohort study,success
2013 - association between blood pressure and DNA methylation of retrotransposons and pro-inflammatory genes.pdf,Association between blood pressure and DNA methylation of retrotransposons and pro-inflammatory genes,biomarker,DNA methylation,methylation of TLR2 gene,biomarker,blood pressure,systolic blood pressure,longitudinal cohort study,success
2013 - association between blood pressure and DNA methylation of retrotransposons and pro-inflammatory genes.pdf,Association between blood pressure and DNA methylation of retrotransposons and pro-inflammatory genes,biomarker,DNA methylation,methylation of iNOS gene,biomarker,blood pressure,diastolic blood pressure,longitudinal cohort study,success
2013 - association between blood pressure and DNA methylation of retrotransposons and pro-inflammatory genes.pdf,Association between blood pressure and DNA methylation of retrotransposons and pro-inflammatory genes,biomarker,DNA methylation,methylation of iNOS gene,biomarker,blood pressure,systolic blood pressure,longitudinal cohort study,success
2013 - association between blood pressure and DNA methylation of retrotransposons and pro-inflammatory genes.pdf,Association between blood pressure and DNA methylation of retrotransposons and pro-inflammatory genes,biomarker,DNA methylation,methylation of IFN-g gene,biomarker,blood pressure,diastolic blood pressure,longitudinal cohort study,success
2013 - association between blood pressure and DNA methylation of retrotransposons and pro-inflammatory genes.pdf,Association between blood pressure and DNA methylation of retrotransposons and pro-inflammatory genes,biomarker,DNA methylation,methylation of IFN-g gene,biomarker,blood pressure,systolic blood pressure,longitudinal cohort study,success
2013 - association between blood pressure and DNA methylation of retrotransposons and pro-inflammatory genes.pdf,Association between blood pressure and DNA methylation of retrotransposons and pro-inflammatory genes,biomarker,DNA methylation,methylation of ICAM-1 gene,biomarker,blood pressure,diastolic blood pressure,longitudinal cohort study,success
