PMID,Title,L1_Exact,L1_Fuzzy,L1_Strategies,L1_Unmatched,L1_Precision,L1_Recall,L1_F1,L2_Exact,L2_Fuzzy,L2_Strategies,L2_Unmatched,L2_Precision,L2_Recall,L2_F1,L3_Exact,L3_Fuzzy,L3_Strategies,L3_Unmatched,L3_Precision,L3_Recall,L3_F1,Semantic_Reasoning
25028775.0,Long-term effects of traffic particles on lung function decline in the elderly.,"chemical, physical",,,,,,,"air pollution, solar and geomagnetic activity",,,,,,,"short-term PM2.5 mass, short-term PM2.5 elemental components, short-term black carbon, intermediate-term PM2.5 mass, intermediate-term PM2.5 elemental components, intermediate-term black carbon",,,,,,,"The exposures in this paper primarily fall under the categories of chemical and physical, with specific focus on air pollution and solar/geomagnetic activity as the mid-level classifications. The detailed exposures include various components of PM2.5 and black carbon over short and intermediate term"
24709766.0,Occupational determinants of cumulative lead exposure: analysis of bone lead among men in the VA normative aging study.,"chemical, biomarker",,,,,,,bone lead,,,,,,,"patella lead, tibia lead",,,,,,,"The exposure terms in this paper primarily fall under the chemical and biomarker categories, specifically related to lead exposure in bone tissue."
28070358.0,Cholesterol and depressive symptoms in older men across time.,"psychosocial, behavior",,,,,,,"psychosocial stressors, depression, anxiety",,,,,,,,,,,,,,"The exposures mentioned in the paper fall under the psychosocial and behavior categories, specifically related to psychosocial stressors, depression, and anxiety."
21296318.0,Relation between high-density lipoprotein cholesterol and survival to age 85 years in men (from the VA normative aging study).,physical,,,,,,,solar and geomagnetic activity,,,,,,,"interplanetary magnetic field, sunspot number",,,,,,,"The exposures in this paper primarily fall under the physical category, specifically related to solar and geomagnetic activity such as interplanetary magnetic field and sunspot number."
22407520.0,Lifestyle change and high-density lipoprotein change: the US Department of Veterans Affairs Normative Aging Study.,behavior,,,,,,,diet,,,,,,,,,,,,,,"The exposure terms in the paper primarily fall under the behavior category, with a specific focus on diet as a lifestyle change affecting high-density lipoprotein levels."
22407520.0,Lifestyle change and high-density lipoprotein change: the US Department of Veterans Affairs Normative Aging Study.,behavior,,,,,,,diet,,,,,,,,,,,,,,"The exposure terms in the paper primarily fall under the behavior category, with a specific focus on diet as a lifestyle change affecting high-density lipoprotein levels."
20980452.0,Urinary 8-hydroxy-2'-deoxyguanosine as a biomarker of oxidative DNA damage induced by ambient pollution in the Normative Aging Study.,"chemical, biomarker",,,,,,,air pollution,,,,,,,,vitamin E intake (0.88),partial_word,,,,,"The urinary 8-hydroxy-2'-deoxyguanosine biomarker is used to assess oxidative DNA damage induced by ambient pollution, specifically air pollution, which falls under the chemical exposure category."
24142987.0,Associations between arrhythmia episodes and temporally and spatially resolved black carbon and particulate matter in elderly patients.,"chemical, physical",,,,,,,air pollution,,,,,,,short-term black carbon,,,,,,,"The exposure terms extracted from the paper fall under the categories of chemical and physical exposures, specifically related to air pollution with a focus on short-term black carbon."
22383587.0,Association between long-term exposure to traffic particles and blood pressure in the Veterans Administration Normative Aging Study.,chemical,,,,,,,air pollution,,,,,,,,long-term PM2.5 elemental components (0.88),partial_word,,,,,"The exposure to traffic particles falls under the broad category of chemical exposures, specifically air pollution, which includes particulate matter from traffic emissions."
23257623.0,Allergen sensitization is associated with increased DNA methylation in older men.,biomarker,,,DNAmethylation,,,,,,,,,,,,,,,,,,"The exposure terms in this paper are more focused on biomarkers and DNA methylation, which fall under the broad categories of biomarker and DNAmethylation at Layer 1."
31636367.0,Blood DNA methylation biomarkers of cumulative lead exposure in adults.,"chemical, biomarker",,,,,,,air pollution,,,,,,,"patella lead, tibia lead, blood lead",mitochondrial DNA copy number (0.88),partial_word,,,,,"The exposures mentioned in the paper are related to chemical substances (lead) and biomarkers (DNAmethylation) associated with air pollution, specifically lead exposure in bones and blood."
24916788.0,Circulating irisin levels and coronary heart disease: association with future acute coronary syndrome and major adverse cardiovascular events.,"biomarker, behavior, disease",,,,,,,metabolites,"hostility (0.62), metabolic syndrome component (0.95)","fuzzy_normalized, contains","insulin resistance, coronary artery disease",,,,,"irisin (0.95), vitamin E intake (0.88), short-term CO (0.88), vitamin E intake (0.88), short-term CO (0.88), vitamin E intake (0.88)","contains, partial_word, partial_word, partial_word, partial_word, partial_word",,,,,"The exposures in this paper primarily fall under the biomarker, behavior, and disease categories. The specific exposures relate to metabolites, obesity, insulin resistance, metabolic syndrome, and coronary artery disease, with a focus on irisin levels, white adipose tissue 'browning', ACSs, MACE, PC"
22430802.0,Gene promoter methylation is associated with lung function in the elderly: the Normative Aging Study.,"chemical, psychosocial, behavior",,,,,,,"air pollution, DNAmethylation, psychosocial stressors",,,,,,,psychosocial stressors,mitochondrial DNA copy number (0.88),partial_word,,,,,"The exposures mentioned in the paper include chemical exposures, psychosocial factors, and behavioral factors. These can be further classified into air pollution, DNAmethylation, and psychosocial stressors at the mid-level, with specific details such as DNAmethylation and psychosocial stressors bein"
23232970.0,Structural equation modeling of the inflammatory response to traffic air pollution.,chemical,,,,,,,air pollution,,,,,,,short-term black carbon,"short-term black carbon (0.88), vitamin E intake (0.88), vitamin E intake (0.88)","partial_word, partial_word, partial_word",,,,,"The exposures mentioned in the paper are related to air pollution, which falls under the chemical category in Layer 1. Specifically, they include short-term black carbon, carbon monoxide, nitrogen monoxide, and nitrogen dioxide, which are specific types of chemical exposures within the air pollution"
